,GOTSeason,GOTCharacter,OverallCount,NeutralCount,PositiveCount,NegativeCount
768,Season1,talia,10.6146043771,28,24,10
769,Season2,tom,62.9644404207,451,327,183
770,Season2,karl,3.05,10,4,2
771,Season3,edric,2.08273809524,16,10,6
772,Season3,oldman,0.9,1,4,1
773,Season6,lommy,0.272727272727,1,2,0
774,Season6,bolton,2.95119047619,71,26,21
775,Season4,alton,-0.257142857143,3,4,2
776,Season5,oswell,0.143181818182,0,1,1
777,Season2,nan,24.5632299182,525,162,87
778,Season2,stafford,1.27636363636,6,4,0
779,Season2,lancel,-0.6,0,0,2
780,Season6,kyra,0.0,2,0,0
781,Season4,violet,1.375,4,3,0
782,Season5,duncan,0.6,2,2,0
783,Season1,moro,-8.29354256854,30,10,28
784,Season2,lem,30.2954996392,565,244,160
785,Season6,alliser,0.268181818182,1,1,0
786,Season4,wildling,1.63174422799,52,32,25
787,Season5,joyeuse,0.0,1,0,0
788,Season3,jeor,0.85,3,2,0
789,Season6,savo,0.5,24,5,2
790,Season6,domeric,0.0,1,0,0
791,Season4,daena,0.235714285714,14,4,3
792,Season4,selyse,0.0,2,0,0
793,Season6,harker,0.0,1,0,0
794,Season5,daenerys,28.5692484367,472,120,66
795,Season5,oberyn,2.01500721501,48,12,8
796,Season2,simon,4.13055555556,8,17,0
797,Season6,ray,-770.734793748,765,576,5716
798,Season4,child,20.6973665224,138,177,158
799,Season4,mance,145.036303211,110,319,29
800,Season6,zalla,0.0,1,0,0
801,Season1,robert,-2.51214285714,28,14,14
802,Season2,sam,38.7738864839,308,233,117
803,Season2,tywin,3.00277777778,12,12,4
804,Season2,orson,0.0,2,0,0
805,Season3,biter,1.425,12,3,1
806,Season3,pycelle,0.55,0,2,0
807,Season6,arryk,0.0,1,0,0
808,Season1,smiling,0.708333333333,2,4,2
809,Season3,ludd,0.0,1,0,0
810,Season6,balon,0.0,8,0,0
811,Season4,morgan,1.43968253968,18,9,2
812,Season6,rhaego,0.0,1,0,0
813,Season5,serena,0.2,2,2,1
814,Season5,aegon,0.0,6,0,0
815,Season2,shepherd,0.0,2,0,0
816,Season3,lady,70.3718103656,430,325,175
817,Season3,high,69.0809957912,140,377,98
818,Season3,damien,-0.4,7,0,1
819,Season6,mira,-3.25875,251,13,32
820,Season1,walda,0.0,6,0,0
821,Season1,elyo,1.0,4,2,0
822,Season3,yoren,0.775,0,2,0
823,Season1,theon,18.214047619,322,162,169
824,Season3,margaery,11.2381168831,34,37,13
825,Season3,ethan,2.87,16,10,6
826,Season6,shaggydog,0.0,2,0,0
827,Season6,lyanna,0.787605068543,107,30,27
828,Season6,damon,-0.3,4,1,2
829,Season6,viserys,0.1875,8,2,3
830,Season4,simpson,3.31818181818,25,11,2
831,Season4,elia,5.62174242424,29,24,9
832,Season4,qhorin,0.0,1,0,0
833,Season1,walder,0.0,4,0,0
834,Season2,styr,0.0,4,0,0
835,Season6,craster,-0.0875,2,0,1
836,Season6,aemon,1.6,2,3,0
837,Season4,aron,7.18115079365,224,39,27
838,Season5,pyat,-0.025,1,0,1
839,Season5,aegor,-0.4,0,0,1
840,Season1,aggar,2.55,18,6,0
841,Season1,catelyn,-2.83238095238,4,2,14
842,Season2,nights,64.6208999334,187,236,90
843,Season3,hodor,43.1909872535,250,123,42
844,Season3,rickon,-0.833333333333,4,5,3
