,Month_Year,Interest
1622,20130204,1
1623,20130817,10
1624,20110603,2274
1625,20120404,6421
1626,20160103,13
1627,20151031,26
1628,20150915,20
1629,20150302,20
1630,20141230,17
1631,20140619,82
1632,20140501,34
1633,20130818,11
1634,20130205,5
1635,20110604,1736
1636,20120405,2396
1637,20140502,5986
1638,20160104,12
1639,20150916,18
1640,20150303,21
1641,20141231,19
1642,20130819,7
1643,20130701,10
1644,20130206,5
1645,20110605,1950
1646,20140503,3375
1647,20160105,6
1648,20150917,12
1649,20150304,16
1650,20130702,12
1651,20130207,4
1652,20120901,5
1653,20120406,7
1654,20110606,14192
1655,20140504,3211
1656,20160601,212
1657,20160106,12
1658,20150918,5
1659,20150305,7
1660,20130703,14
1661,20130208,6
1662,20120902,1
1663,20120407,4
1664,20110607,7752
1665,20140505,5818
1666,20160602,175
1667,20160107,9
1668,20150801,18
1669,20150306,11
1670,20130704,9
1671,20150919,5
1672,20130209,3
1673,20120903,2
1674,20120408,1
1675,20110608,4366
1676,20120409,2513
1677,20140506,6891
1678,20160603,2335
1679,20160108,7
1680,20150802,15
1681,20150307,17
1682,20130705,6
1683,20120904,4
1684,20121020,3
1685,20110609,3626
1686,20160109,791
1687,20140507,8862
1688,20160604,112
1689,20150803,31
1690,20150308,18
1691,20130706,20
1692,20121021,3
1693,20111220,1
1694,20120905,2
