,GOTSeason,GOTCharacter,DeadCount
421,Season6,daenerys,20
422,Season6,oberyn,3
423,Season2,robert,3
424,Season3,sam,36
425,Season3,tywin,3
426,Season1,merchant,2
427,Season4,lady,30
428,Season4,high,14
429,Season5,elia,6
430,Season2,theon,55
431,Season4,margaery,7
432,Season5,aron,12
433,Season1,ros,84
434,Season3,styr,1
435,Season5,tortured,6
436,Season1,alys,4
437,Season1,robb,2
438,Season2,catelyn,2
439,Season3,nights,28
440,Season4,hodor,7
441,Season1,joffrey,24
442,Season2,master,2
443,Season3,gerhard,1
444,Season6,barristan,1
445,Season6,leaf,1
446,Season4,rast,11
447,Season4,stannis,3
448,Season6,summer,10
449,Season6,barra,1
450,Season3,talisa,2
451,Season4,beast,1
452,Season4,water,1
453,Season2,ray,8
454,Season4,aerys,6
455,Season3,three,20
456,Season6,silver,1
457,Season4,drogo,8
458,Season4,grey,8
459,Season3,karstark,1
460,Season4,baratheon,1
461,Season2,mira,6
462,Season5,bones,1
463,Season6,soldier,33
464,Season5,morghul,27
465,Season3,steve,4
466,Season5,irri,3
467,Season3,cooper,1
468,Season6,davos,2
469,Season6,spice,1
470,Season1,barristan,2
471,Season3,azor,3
472,Season3,mern,1
473,Season6,ch,1636
474,Season4,jon,22
475,Season5,great,35
476,Season1,summer,6
477,Season3,mero,7
478,Season6,stiv,7
479,Season4,frey,1116
480,Season5,clegane,1
481,Season1,barra,4
482,Season6,elissa,3
483,Season4,miller,2
484,Season4,will,329
485,Season1,doran,2
486,Season2,lann,7
487,Season6,shae,1
488,Season5,red,216
489,Season2,eddard,2
490,Season3,mag,54
491,Season5,locke,5
492,Season1,silver,12
493,Season6,tommen,9
494,Season4,ygritte,3
495,Season4,loren,2
496,Season4,renly,1
497,Season5,olly,47
498,Season6,orys,3
499,Season4,white,27
500,Season1,erik,2
501,Season1,arson,2
502,Season3,talia,3
503,Season4,tom,45
504,Season6,alton,1
505,Season1,soldier,58
506,Season4,nan,33
507,Season6,violet,2
