,TweetDate,_c1
150,20140522,16
151,20130721,1
152,20120426,46
153,20160125,12
154,20140523,74
155,20160620,10
156,20151215,1
157,20120427,32
158,20160126,7
159,20140524,57
160,20160621,105
161,20130723,1
162,20110627,4
163,20120428,64
164,20160127,13
165,20140525,39
166,20160622,20
167,20110628,22
168,20120429,34
169,20160128,8
170,20140526,63
171,20160623,23
172,20110629,24
173,20160129,18
174,20140527,39
175,20160624,4
176,20150210,1
177,20140410,13
178,20140528,41
179,20160625,19
180,20150211,1
181,20130610,129
182,20140411,45
183,20140529,41
184,20160626,5
185,20150212,1
186,20130611,116
187,20160627,92
188,20150213,1
189,20130612,87
190,20140413,38
191,20160628,170
192,20160510,3
193,20130613,79
194,20140414,34
195,20160629,42
196,20150215,1
197,20160511,2
198,20130614,49
199,20140910,1
200,20140415,2
201,20130615,58
202,20140416,50
203,20151108,1
204,20150217,2
205,20160513,1
206,20130616,42
207,20140417,75
208,20160514,3
209,20130617,61
210,20140418,92
211,20160515,5
212,20130618,40
213,20140419,21
214,20140914,1
215,20160516,2
216,20130619,40
217,20160517,27
218,20160518,3
219,20120701,1
220,20150718,1
221,20160519,1
222,20160402,9
223,20150601,1
224,20150602,18
225,20160403,5
226,20150603,15
227,20111020,2
228,20130506,22
229,20160404,6
230,20150108,1
231,20140802,1
232,20150604,76
233,20130507,65
234,20150605,22
235,20130508,28
236,20160406,9
237,20150606,6
238,20130509,33
239,20160407,9
240,20150607,4
241,20140806,2
242,20150608,36
243,20120430,66
244,20160409,2
245,20110630,2
246,20160130,8
247,20150609,2
248,20111027,8
249,20160131,17
250,20111028,6
251,20140530,12
252,20151222,1
253,20111029,6
254,20160630,10
255,20150830,1
256,20121212,1
257,20140420,14
258,20130620,8
259,20140421,21
260,20140422,85
261,20151114,1
262,20110525,4
263,20140423,44
264,20160520,9
265,20151115,1
266,20110526,18
267,20140424,20
268,20160521,12
269,20110527,22
270,20140425,40
271,20160522,10
272,20110528,8
273,20140426,13
274,20160523,40
275,20150227,2
276,20110529,8
277,20140427,15
278,20160524,61
279,20150110,1
280,20140428,21
281,20160525,30
282,20140310,1
283,20130628,20
284,20130510,6
285,20140429,88
286,20160526,8
287,20150725,1
288,20130629,15
289,20160527,28
290,20160410,2
291,20160528,5
292,20140313,2
293,20150610,19
294,20130513,56
295,20160529,15
296,20160411,1
297,20150728,1
298,20150611,104
299,20130514,69
300,20160412,3
301,20150612,11
302,20130515,13
303,20160413,10
304,20140811,2
305,20150613,32
306,20130516,26
307,20160414,22
308,20140317,1
309,20150614,62
310,20130517,32
311,20160415,12
312,20150615,61
313,20130518,20
314,20160416,4
315,20150616,241
316,20130401,242
317,20130519,20
318,20160417,7
319,20131130,1
320,20150617,52
321,20130402,202
322,20160418,1
323,20150618,115
324,20130403,88
325,20160301,9
326,20160419,14
327,20150619,153
328,20150501,16
329,20130404,43
330,20160302,8
331,20150502,25
332,20120604,26
333,20130405,33
334,20160303,10
335,20150503,5
336,20120605,294
337,20130406,7
338,20160304,6
339,20140702,1
340,20120606,110
341,20150504,1
342,20150505,41
343,20120607,79
344,20130408,148
345,20140704,1
346,20130903,1
347,20150506,6
348,20120608,22
349,20130409,75
350,20150507,15
351,20160308,1
352,20150508,23
353,20160309,122
354,20150509,12
355,20110530,170
356,20110531,80
357,20140430,19
358,20151122,1
359,20130909,1
360,20130630,5
361,20160530,3
362,20160531,20
363,20151011,1
364,20130520,5
365,20130521,72
366,20140322,1
367,20141213,1
368,20130522,29
369,20160420,19
370,20150620,99
371,20130523,30
372,20160421,6
373,20150125,1
374,20150621,76
375,20130524,24
376,20160422,2
377,20150622,55
378,20130525,19
379,20160423,1
380,20151018,1
381,20150623,22
382,20130526,22
